# RA DEC XI ETA F475W F814W V VERR
10.908 41.138 0.168 -0.131 24.801 21.463 -165.868 4.393 
10.911 41.141 0.17 -0.128 23.584 20.872 -339.004 2.925 
10.907 41.154 0.167 -0.115 23.823 21.169 -148.785 3.345 
10.924 41.155 0.18 -0.114 24.306 21.109 -451.149 1.952 
10.902 41.155 0.164 -0.114 24.493 21.279 -227.198 2.831 
10.928 41.155 0.183 -0.114 23.35 20.775 -194.203 3.614 
10.863 41.157 0.134 -0.112 23.59 20.659 -314.538 2.014 
10.894 41.157 0.158 -0.112 24.199 21.227 -402.357 2.77 
10.929 41.158 0.184 -0.111 24.437 21.107 -422.092 1.526 
10.866 41.161 0.136 -0.108 23.596 21.148 -395.45 7.732 
10.916 41.161 0.174 -0.108 23.835 21.103 -399.92 2.075 
10.868 41.161 0.138 -0.108 24.491 21.298 -661.258 2.95 
10.848 41.164 0.123 -0.105 23.369 20.594 -392.74 2.159 
10.887 41.168 0.152 -0.101 24.079 21.811 -283.92 4.604 
10.927 41.168 0.183 -0.101 23.9 20.945 -164.04 4.004 
10.934 41.17 0.188 -0.099 23.486 21.028 -118.381 5.378 
10.944 41.172 0.195 -0.098 23.679 21.279 -497.461 5.517 
10.884 41.175 0.15 -0.094 24.36 20.997 -21.365 3.505 
10.946 41.177 0.197 -0.092 24.026 21.422 -320.588 3.677 
10.929 41.182 0.184 -0.087 23.015 20.889 -310.051 5.02 
10.942 41.19 0.193 -0.079 24.123 20.952 -352.005 1.872 
10.94 41.193 0.192 -0.076 24.35 20.972 -317.91 3.437 
10.893 41.194 0.157 -0.075 23.737 21.153 -311.67 4.126 
10.918 41.197 0.176 -0.072 23.432 20.904 -622.502 2.582 
10.968 41.202 0.213 -0.067 24.476 21.351 -389.397 3.148 
10.911 41.206 0.17 -0.064 24.032 20.892 -289.417 2.081 
10.923 41.208 0.179 -0.062 23.164 20.635 -461.819 2.075 
10.98 41.208 0.222 -0.061 24.215 21.146 -149.282 2.743 
10.929 41.213 0.184 -0.056 23.681 20.72 -719.227 2.879 
10.938 41.214 0.191 -0.055 24.841 21.409 -487.046 1.594 
10.942 41.214 0.194 -0.055 23.2 20.735 -302.757 1.82 
10.953 41.215 0.202 -0.054 23.564 20.683 -283.758 1.67 
10.917 41.216 0.175 -0.053 23.508 21.229 -301.031 4.382 
10.954 41.218 0.203 -0.051 24.072 21.555 -348.856 3.336 
10.95 41.224 0.2 -0.044 23.781 20.974 -491.17 2.367 
10.984 41.226 0.225 -0.043 24.381 21.068 2.306 2.354 
10.93 41.227 0.184 -0.042 24.389 21.092 -174.511 3.019 
10.934 41.228 0.187 -0.041 23.667 20.725 20.303 1.551 
10.976 41.232 0.219 -0.037 23.733 21.128 -428.798 3.824 
10.949 41.233 0.199 -0.036 23.946 21.072 -142.412 3.294 
10.989 41.235 0.229 -0.034 24.475 21.381 -239.574 4.641 
10.982 41.235 0.223 -0.034 22.469 20.568 -264.093 1.538 
10.944 41.24 0.195 -0.029 23.246 20.652 -307.152 3.553 
10.97 41.24 0.215 -0.029 23.506 20.402 -369.026 1.478 
11.018 41.243 0.25 -0.026 23.374 20.412 -258.847 1.223 
11.011 41.244 0.245 -0.025 22.976 20.482 -168.143 2.636 
10.965 41.253 0.211 -0.016 23.228 20.536 -274.427 1.634 
10.956 41.253 0.204 -0.016 24.117 21.08 -227.112 2.036 
10.965 41.255 0.21 -0.014 23.668 20.657 -397.477 2.021 
10.932 41.256 0.186 -0.013 23.54 21.407 -224.868 3.022 
11.023 41.256 0.254 -0.012 23.859 20.83 -451.335 2.368 
11.029 41.258 0.259 -0.011 23.707 21.015 -305.429 5.259 
10.934 41.259 0.188 -0.01 23.97 21.088 90.065 3.541 
11.024 41.259 0.255 -0.01 23.447 20.69 -96.108 5.745 
11.009 41.267 0.244 -0.002 24.505 21.405 -261.548 4.037 
10.999 41.269 0.236 0.0 23.955 20.941 -261.176 3.833 
11.023 41.276 0.254 0.007 23.906 21.281 -197.089 2.7 
11.011 41.277 0.245 0.009 24.386 21.187 -153.026 6.422 
10.977 41.28 0.22 0.011 23.89 21.091 12.899 4.314 
11.012 41.286 0.246 0.017 23.892 20.98 111.103 2.09 
11.094 41.144 0.308 -0.124 24.176 21.823 -414.567 4.931 
11.094 41.148 0.308 -0.12 24.453 22.04 -192.36 4.827 
11.11 41.176 0.32 -0.093 23.739 20.894 -127.019 1.669 
11.135 41.188 0.339 -0.081 24.123 21.0 -226.184 1.656 
11.136 41.193 0.339 -0.075 24.187 21.766 -268.926 3.474 
11.141 41.201 0.343 -0.068 24.816 21.804 -105.168 3.332 
11.101 41.201 0.313 -0.067 24.588 21.456 -251.265 2.342 
11.115 41.202 0.323 -0.067 24.881 21.713 -277.367 1.823 
11.121 41.202 0.328 -0.067 24.358 21.307 -346.645 1.825 
11.144 41.206 0.346 -0.063 24.574 21.279 -268.1 1.714 
11.147 41.207 0.347 -0.061 24.085 21.18 -390.487 1.739 
11.128 41.211 0.333 -0.057 24.081 21.493 -293.783 1.977 
11.144 41.216 0.345 -0.052 23.726 21.038 -198.372 2.155 
11.131 41.216 0.335 -0.052 24.539 22.148 -173.717 3.853 
10.982 41.111 0.224 -0.158 23.732 20.915 -289.168 1.823 
11.005 41.119 0.241 -0.15 23.689 20.705 -400.432 2.088 
10.983 41.119 0.225 -0.15 23.768 20.674 -394.972 0.927 
10.967 41.126 0.212 -0.143 22.849 20.584 -165.908 2.037 
10.976 41.126 0.219 -0.143 24.093 21.049 -222.194 1.769 
11.005 41.127 0.241 -0.142 23.801 20.967 -187.552 1.588 
10.981 41.128 0.223 -0.141 23.772 21.168 -242.813 2.043 
10.948 41.13 0.198 -0.139 23.13 20.566 -326.24 2.344 
10.99 41.13 0.229 -0.138 22.871 20.611 -303.78 0.955 
10.95 41.131 0.2 -0.138 23.716 20.753 -451.039 1.716 
11.04 41.13 0.267 -0.138 24.254 21.111 -303.619 1.56 
11.047 41.131 0.272 -0.138 24.381 21.408 -312.533 2.24 
11.004 41.131 0.24 -0.138 24.585 21.285 -212.623 1.593 
11.082 41.131 0.299 -0.138 23.493 20.677 2.304 1.636 
11.0 41.131 0.237 -0.138 24.235 21.292 -345.412 1.858 
11.03 41.131 0.26 -0.137 24.425 21.112 -335.055 1.43 
11.041 41.132 0.268 -0.137 23.963 20.741 -348.9 1.176 
10.965 41.132 0.211 -0.137 23.552 20.866 -291.566 1.773 
11.072 41.133 0.292 -0.136 24.379 21.023 -315.991 1.377 
10.958 41.134 0.206 -0.135 24.736 22.275 -296.25 6.581 
11.083 41.137 0.3 -0.131 23.627 20.954 -298.188 1.609 
11.066 41.137 0.287 -0.131 24.405 21.422 -431.536 2.159 
11.059 41.138 0.281 -0.131 23.8 21.101 -440.831 1.821 
11.039 41.139 0.266 -0.13 24.239 21.671 -267.468 2.869 
11.018 41.139 0.251 -0.13 24.241 20.876 -274.195 1.198 
11.045 41.139 0.271 -0.129 23.548 20.842 -338.443 1.479 
